sido,sigungu,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4,y5,y6,y7,전월세구분,a1,a2,a3
경상남도,남해군,19316,189.8,5588,5441,809,0,7131,112,19462,9.4,0.1,0,0,0.02,0.12,월세,59.98477,1600,34
경상남도,하동군,19387,192.6,5040,5954,1000,0,6897,350,19387,8.7,0.09,0,0,0.04,0.13,월세,44.35515806,1389.290323,21.58064516
경상남도,산청군,15356,143.7,4068,4342,695,0,5801,348,15576,12,0.13,0,0,0.05,0.18,월세,58.40722222,2988.222222,33.55555556
경상남도,함양군,17165,159.4,4473,5068,743,0,6465,312,17298,10.4,0.11,0,0,0.04,0.15,월세,62.65889091,2089.545455,35.72727273
경상남도,거창군,25491,279.9,6465,9205,1017,0,8382,205,25832,10.7,0.11,0,0.01,0.03,0.14,월세,67.56779,3006.783333,49.73333333
경상남도,합천군,20124,176.9,5434,5532,752,0,7926,326,20089,15.1,0.16,0,0,0.03,0.2,월세,51.02,2540,24.66666667
서울특별시,종로구,62652,625.5,10225,23221,2480,0,24668,1630,63300,8.3,0.08,0.04,0.02,0.04,0.17,월세,57.32766858,18833.36528,122.3400853
서울특별시,중구,54496,514.8,9128,19452,1930,0,22075,1607,55039,8.8,0.08,0.04,0.02,0.05,0.18,월세,56.37043721,14735.31641,125.85387
서울특별시,용산구,93177,957.2,16003,35426,3209,0,35143,2805,95596,5.8,0.06,0.05,0.01,0.02,0.13,월세,76.15398193,24442.23021,173.2247934
서울특별시,성동구,122770,1377.5,21089,52686,4641,0,41475,1767,122042,9.5,0.11,0.04,0.01,0.01,0.16,월세,70.22882522,25309.35718,158.0683634
서울특별시,광진구,149905,1553.6,22878,60012,5031,0,58680,2040,151862,10.2,0.11,0.08,0.02,0.02,0.22,월세,67.87897269,25770.92558,123.8790698
서울특별시,동대문구,148349,1592.7,22978,58020,5792,0,58140,2218,150048,8.9,0.1,0.05,0.02,0.03,0.18,월세,53.55206232,13533.60321,87.9005561
서울특별시,중랑구,160776,1838.9,27589,72097,6428,0,52180,1030,164606,7.8,0.08,0.08,0.01,0.01,0.18,월세,46.58679828,10523.7401,49.23004543
서울특별시,성북구,176729,2136.9,28522,78972,7502,0,57800,2399,179421,9.3,0.11,0.05,0.01,0.03,0.19,월세,59.14934368,13711.04414,83.86909871
서울특별시,강북구,128012,1419.9,21187,56574,5236,0,42768,1151,129679,8.3,0.09,0.09,0.01,0.02,0.19,월세,49.34682855,8404.982609,71.9942029
서울특별시,도봉구,126831,1651,23328,63084,5555,0,32635,1033,127216,3.6,0.04,0.05,0,0.01,0.1,월세,55.87096343,7309.170895,66.5117281
