Sido,Sigungu,Latitude,Longitude,Result
강원도,강릉시,128.8784972,37.74913611,0.071839616
강원도,속초시,128.5941667,38.204275,0.09599322
강원도,양양군,128.6213556,38.07283333,0.15785027
충청북도,충주시,127.9281444,36.98818056,0.06728372
충청북도,제천시,128.1931528,37.12976944,0.08235647
충청북도,청주시,127.5117306,36.58399722,0.052737474
충청북도,옥천군,127.5736333,36.30355,0.117447615
충청남도,천안시,127.1524667,36.804125,0.051042482
충청남도,공주시,127.1211194,36.44361389,0.09789069
충청남도,아산시,127.0046417,36.78710556,0.07293476
충청남도,서산시,126.4521639,36.78209722,0.063901186
충청남도,논산시,127.1009111,36.18420278,0.09181136
충청남도,당진시,126.6302528,36.89075,0.074202776
충청남도,금산군,127.4903083,36.10586944,0.13556957
전라북도,전주시,127.1219194,35.80918889,0.048928946
전라북도,군산시,126.7388444,35.96464167,0.04611653
전라북도,남원시,127.3925,35.41325556,0.105852485
전라북도,임실군,127.2847528,35.60806389,0.16264457
전라북도,순창군,127.1396306,35.37138889,0.14936629
전라북도,부안군,126.7356778,35.72853333,0.11950049
전라남도,여수시,127.6643861,34.75731111,0.04631844
전라남도,순천시,127.4893306,34.94760556,0.043946162
전라남도,광양시,127.6981778,34.93753611,0.0585351
경상북도,경주시,129.2270222,35.85316944,0.07458794
경상북도,김천시,128.1158,36.13689722,0.0827899
경상북도,안동시,128.7316222,36.56546389,0.08998367
경상북도,구미시,128.3467778,36.11655,0.053112
경상북도,상주시,128.1612639,36.40796944,0.11561154
경상북도,문경시,128.1890194,36.58363056,0.115403235
경상북도,경산시,128.7434639,35.82208889,0.06746049
경상남도,통영시,128.4352778,34.85125833,0.072237894
경상남도,김해시,128.8916667,35.22550556,0.049985602
경상남도,양산시,129.0394111,35.33192778,0.032929458
경상남도,창원시,128.6401544,35.2540033,0.06263241
경상남도,고성군,128.3245417,34.9699,0.12960489
제주,제주시,126.5332083,33.49631111,0.07675493
제주,서귀포시,126.5125556,33.25235,0.10587484
