sido,sigungu,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4,y5,y6,y7,전월세구분,a1,a2,a3
경상북도,영주시,44303.0,469.5,12013.0,15599.0,1625.0,0.0,14132.0,538.0,45558,9.4,0.09,0.0,0.0,0.03,0.13,월세,62.91572522522523,3203.099099099099,45.11711711711712
경상북도,영천시,43310.0,422.9,10386.0,15030.0,1716.0,0.0,15063.0,819.0,44764,11.1,0.11,0.0,0.0,0.06,0.18,월세,65.03924329710145,5752.777173913043,22.831521739130437
경상북도,의성군,23767.0,202.6,7127.0,6247.0,969.0,0.0,8949.0,305.0,24046,20.2,0.21,0.0,0.0,0.03,0.24,월세,50.86507142857143,3468.0,29.571428571428573
경상북도,청송군,11512.0,98.4,3434.0,3118.0,394.0,0.0,4239.0,256.0,11704,18.3,0.19,0.0,0.0,0.04,0.23,월세,45.17071428571428,1243.428571428571,14.357142857142858
경상북도,영양군,7539.0,67.4,2240.0,2024.0,327.0,0.0,2759.0,134.0,7653,16.4,0.17,0.0,0.0,0.03,0.2,월세,38.8145,838.2,12.5
경상북도,영덕군,16918.0,147.8,4458.0,4765.0,629.0,0.0,6565.0,398.0,16952,10.4,0.11,0.0,0.0,0.03,0.15,월세,87.42523333333334,2083.333333333333,63.333333333333336
경상북도,청도군,18616.0,171.8,5024.0,5511.0,814.0,0.0,6789.0,346.0,18794,12.1,0.12,0.0,0.0,0.04,0.16,월세,67.1255,2233.333333333333,31.666666666666668
경상북도,고령군,13468.0,127.1,3428.0,4573.0,631.0,0.0,4499.0,256.0,13461,10.1,0.11,0.0,0.0,0.06,0.17,월세,59.01408571428571,1531.557142857143,34.357142857142854
경상북도,성주군,17835.0,173.5,4724.0,5575.0,958.0,0.0,6100.0,344.0,18152,12.5,0.13,0.0,0.0,0.06,0.2,월세,78.7578,7625.0,40.0
경상북도,칠곡군,46237.0,557.1,9009.0,20224.0,1529.0,0.0,14329.0,692.0,46733,4.6,0.05,0.0,0.0,0.03,0.08,월세,59.41853669354838,1850.520161290323,33.58064516129032
경상북도,예천군,23382.0,241.9,6291.0,7895.0,914.0,0.0,7862.0,206.0,23979,9.7,0.1,0.0,0.0,0.02,0.12,월세,80.01440084745762,2669.93220338983,70.1864406779661
경상북도,봉화군,13992.0,132.7,4167.0,3991.0,543.0,0.0,4903.0,265.0,14066,15.6,0.16,0.0,0.0,0.03,0.2,월세,54.755,1250.0,35.75
경상북도,울진군,21332.0,188.9,5280.0,6900.0,673.0,0.0,7883.0,417.0,21671,9.5,0.1,0.0,0.0,0.03,0.13,월세,62.24223,1870.6666666666667,51.06666666666667
경상북도,울릉군,4061.0,25.5,937.0,1076.0,147.0,0.0,1661.0,235.0,4116,12.5,0.13,0.0,0.01,0.11,0.24,월세,47.1,200.0,67.0
경상남도,진주시,140718.0,1724.7,26974.0,62220.0,5497.0,0.0,43984.0,749.0,146562,5.6,0.06,0.0,0.0,0.01,0.08,월세,60.24712176249328,5966.968833960236,47.45781837721655
경상남도,사천시,45589.0,528.3,10084.0,18198.0,1641.0,0.0,14622.0,591.0,46501,6.2,0.06,0.0,0.0,0.02,0.09,월세,66.04325214723927,2356.6395705521472,48.32208588957055
경상남도,밀양시,44923.0,440.5,11088.0,15306.0,1750.0,0.0,15731.0,725.0,45906,9.1,0.1,0.0,0.0,0.03,0.13,월세,57.70468395348837,3250.874418604651,34.20697674418604
경상남도,거제시,93728.0,1258.3,17932.0,44501.0,3017.0,0.0,25977.0,1314.0,95725,2.5,0.03,0.0,0.0,0.01,0.04,월세,74.56560829103215,1579.243231810491,49.4585448392555
경상남도,의령군,12144.0,105.4,3017.0,3346.0,488.0,0.0,4982.0,239.0,12287,14.7,0.15,0.0,0.0,0.04,0.19,월세,51.23666666666667,1184.6666666666667,21.666666666666668
경상남도,함안군,26560.0,297.8,5847.0,10466.0,1036.0,0.0,8522.0,485.0,26576,7.6,0.08,0.0,0.0,0.03,0.12,월세,61.9009263888889,2797.75,37.208333333333336
경상남도,창녕군,26590.0,262.0,6825.0,8555.0,1113.0,0.0,9356.0,522.0,26832,15.5,0.16,0.0,0.0,0.05,0.21,월세,57.89965857142857,1887.4571428571428,34.32857142857143
경상남도,남해군,19316.0,189.8,5588.0,5441.0,809.0,0.0,7131.0,112.0,19462,9.4,0.1,0.0,0.0,0.02,0.12,월세,59.984770000000005,1600.0,34.0
경상남도,하동군,19387.0,192.6,5040.0,5954.0,1000.0,0.0,6897.0,350.0,19387,8.7,0.09,0.0,0.0,0.04,0.13,월세,44.35515806451613,1389.2903225806451,21.580645161290324
경상남도,산청군,15356.0,143.7,4068.0,4342.0,695.0,0.0,5801.0,348.0,15576,12.0,0.13,0.0,0.0,0.05,0.18,월세,58.40722222222222,2988.222222222222,33.55555555555556
경상남도,함양군,17165.0,159.4,4473.0,5068.0,743.0,0.0,6465.0,312.0,17298,10.4,0.11,0.0,0.0,0.04,0.15,월세,62.65889090909091,2089.5454545454545,35.72727272727273
경상남도,거창군,25491.0,279.9,6465.0,9205.0,1017.0,0.0,8382.0,205.0,25832,10.7,0.11,0.0,0.01,0.03,0.14,월세,67.56779,3006.7833333333333,49.73333333333333
경상남도,합천군,20124.0,176.9,5434.0,5532.0,752.0,0.0,7926.0,326.0,20089,15.1,0.16,0.0,0.0,0.03,0.2,월세,51.02,2540.0,24.666666666666668
서울특별시,종로구,62652.0,625.5,10225.0,23221.0,2480.0,0.0,24668.0,1630.0,63300,8.3,0.08,0.04,0.02,0.04,0.17,월세,57.327668583599575,18833.365282215123,122.34008528784648
서울특별시,중구,54496.0,514.8,9128.0,19452.0,1930.0,0.0,22075.0,1607.0,55039,8.8,0.08,0.04,0.02,0.05,0.18,월세,56.37043721362229,14735.31640866873,125.85386996904025
서울특별시,용산구,93177.0,957.2,16003.0,35426.0,3209.0,0.0,35143.0,2805.0,95596,5.8,0.06,0.05,0.01,0.02,0.13,월세,76.15398193260252,24442.23020706456,173.22479338842976
서울특별시,성동구,122770.0,1377.5,21089.0,52686.0,4641.0,0.0,41475.0,1767.0,122042,9.5,0.11,0.04,0.01,0.01,0.16,월세,70.22882521994134,25309.357184750734,158.0683634211305
서울특별시,광진구,149905.0,1553.6,22878.0,60012.0,5031.0,0.0,58680.0,2040.0,151862,10.2,0.11,0.08,0.02,0.02,0.22,월세,67.8789726910299,25770.92558139535,123.87906976744186
서울특별시,동대문구,148349.0,1592.7,22978.0,58020.0,5792.0,0.0,58140.0,2218.0,150048,8.9,0.1,0.05,0.02,0.03,0.18,월세,53.55206231599608,13533.60320575728,87.90055610075237
서울특별시,중랑구,160776.0,1838.9,27589.0,72097.0,6428.0,0.0,52180.0,1030.0,164606,7.8,0.08,0.08,0.01,0.01,0.18,월세,46.58679828033745,10523.740103828684,49.23004542504867
서울특별시,성북구,176729.0,2136.9,28522.0,78972.0,7502.0,0.0,57800.0,2399.0,179421,9.3,0.11,0.05,0.01,0.03,0.19,월세,59.14934368485592,13711.044144696503,83.86909871244636
