시도,시군구,경도,위도,일반가구수,일반가구_기준미달비율,전체가구_기준미달가구 비율,전체가구_지하거주가구 비율,전체가구_옥상거주가구 비율,전체가구_주택이외거처가구 비율,전체가구_주거빈곤가구 비율
서울특별시,동대문구,127.0421417,37.571625,150048,8.9,0.1,0.05,0.02,0.03,0.18
서울특별시,중랑구,127.0947778,37.60380556,164606,7.8,0.08,0.08,0.01,0.01,0.18
서울특별시,성북구,127.0203333,37.58638333,179421,9.3,0.11,0.05,0.01,0.03,0.19
서울특별시,강북구,127.0277194,37.63695556,129679,8.3,0.09,0.09,0.01,0.02,0.19
서울특별시,도봉구,127.0495222,37.66583333,127216,3.6,0.04,0.05,0.0,0.01,0.1
서울특별시,노원구,127.0583889,37.65146111,202341,5.6,0.06,0.02,0.0,0.01,0.09
서울특별시,은평구,126.9312417,37.59996944,190395,5.2,0.06,0.06,0.0,0.02,0.14
서울특별시,서대문구,126.9388972,37.57636667,132924,5.9,0.07,0.05,0.01,0.02,0.14
서울특별시,마포구,126.9105306,37.56070556,160522,4.9,0.05,0.05,0.01,0.02,0.12
서울특별시,양천구,126.8687083,37.51423056,165829,4.8,0.05,0.05,0.01,0.01,0.11
서울특별시,강서구,126.851675,37.54815556,243743,6.3,0.07,0.03,0.0,0.03,0.13
서울특별시,구로구,126.8895972,37.49265,163880,6.6,0.07,0.02,0.01,0.02,0.12
서울특별시,금천구,126.9041972,37.44910833,103280,10.7,0.12,0.03,0.0,0.03,0.17
서울특별시,영등포구,126.8983417,37.52361111,162232,6.9,0.07,0.03,0.01,0.04,0.15
서울특별시,동작구,126.941575,37.50965556,167552,10.2,0.12,0.06,0.01,0.03,0.21
서울특별시,관악구,126.9538444,37.47538611,248739,16.8,0.19,0.07,0.01,0.06,0.32
서울특별시,서초구,127.0348111,37.48078611,155805,3.2,0.03,0.03,0.0,0.02,0.08
서울특별시,강남구,127.0495556,37.514575,208553,4.2,0.04,0.03,0.0,0.02,0.1
서울특별시,송파구,127.1079306,37.51175556,255530,4.1,0.04,0.04,0.01,0.02,0.1
서울특별시,강동구,127.1258639,37.52736667,176992,5.3,0.06,0.05,0.0,0.01,0.12
부산광역시,중구,129.0345083,35.10321667,20494,9.5,0.09,0.01,0.0,0.04,0.14
부산광역시,서구,129.0263778,35.09483611,47198,9.1,0.09,0.01,0.0,0.01,0.11
부산광역시,영도구,129.0701861,35.08811667,50786,7.4,0.08,0.0,0.0,0.01,0.09
부산광역시,부산진구,129.0553194,35.15995278,156890,6.4,0.06,0.0,0.0,0.01,0.08
부산광역시,동래구,129.0858556,35.20187222,105881,3.6,0.04,0.0,0.0,0.01,0.05
부산광역시,남구,129.0865,35.13340833,110510,4.7,0.05,0.0,0.0,0.01,0.06
부산광역시,북구,128.992475,35.19418056,113022,3.1,0.03,0.01,0.0,0.01,0.04
부산광역시,해운대구,129.1658083,35.16001944,158408,2.0,0.02,0.0,0.0,0.01,0.03
부산광역시,사하구,128.9770417,35.10142778,128228,4.5,0.05,0.0,0.0,0.01,0.06
부산광역시,금정구,129.0943194,35.24007778,101726,5.7,0.06,0.0,0.0,0.01,0.08
부산광역시,사상구,128.9933333,35.14946667,90556,7.5,0.08,0.0,0.0,0.02,0.1
대구광역시,동구,128.6355584,35.88682728,141632,3.3,0.03,0.0,0.0,0.01,0.05
대구광역시,서구,128.5591601,35.87194054,74021,7.8,0.08,0.0,0.0,0.02,0.1
대구광역시,북구,128.5828924,35.8858646,179418,4.1,0.05,0.0,0.0,0.01,0.06
대구광역시,수성구,128.6328667,35.85520833,160077,2.0,0.02,0.0,0.0,0.01,0.03
대구광역시,달서구,128.5350639,35.82692778,226593,3.4,0.04,0.0,0.0,0.01,0.05
대구광역시,달성군,128.4313995,35.77475029,99284,2.7,0.03,0.0,0.0,0.02,0.05
인천광역시,중구,126.6217617,37.47384843,59389,2.4,0.02,0.01,0.0,0.03,0.06
인천광역시,동구,126.6432441,37.47401607,25185,6.6,0.07,0.02,0.0,0.02,0.1
인천광역시,연수구,126.6782658,37.41038125,207048,2.7,0.03,0.02,0.0,0.02,0.07
인천광역시,남구,126.6502972,37.46369169,140951,1.5,0.02,0.01,0.0,0.01,0.03
인천광역시,남동구,126.7309669,37.44971062,193657,4.1,0.04,0.02,0.0,0.02,0.08
인천광역시,부평구,126.7219068,37.50784204,113413,3.4,0.04,0.03,0.0,0.01,0.08
인천광역시,계양구,126.737744,37.53770728,200576,2.6,0.03,0.02,0.0,0.01,0.06
인천광역시,서구,126.6759616,37.54546372,168650,5.0,0.06,0.02,0.0,0.03,0.11
인천광역시,강화군,126.4878417,37.74692907,27750,5.4,0.06,0.01,0.0,0.05,0.12
광주광역시,동구,126.9230903,35.14627776,47295,5.2,0.06,0.0,0.0,0.03,0.09
광주광역시,서구,126.8895063,35.1525164,124031,2.3,0.02,0.0,0.0,0.01,0.04
광주광역시,북구,126.9010806,35.1812138,180972,2.2,0.02,0.0,0.0,0.02,0.04
광주광역시,광산구,126.793668,35.13995836,159167,2.1,0.02,0.0,0.0,0.01,0.03
